PosX,PosY,SurfaceValue
-4.09091,4.09091,1.66531
4.69697,3.18182,0.010365
-2.57576,-1.66667,0
-3.78788,4.09091,1.68259
0.757576,2.27273,1.86224
4.09091,3.78788,0.141655
-3.48485,4.09091,1.62385
-1.9697,3.78788,1.35436
3.18182,-1.66667,0
-2.87879,4.09091,1.2438
3.18182,3.18182,0.67718
2.57576,3.78788,0.162385
2.27273,-2.57576,0.335135
-5,1.9697,3.53447
-2.57576,4.09091,0.881025
0.454545,-1.06061,0.35932
-4.39394,3.78788,1.59621
-2.27273,4.09091,1.30599
4.09091,0.757576,0.473335
1.36364,-2.57576,0.58044
4.09091,-3.78788,1.36127
-1.9697,4.09091,0.984675
0.454545,-1.66667,0.17275
-1.06061,-0.151515,1.20925
-3.48485,2.57576,2.15592
-1.66667,4.09091,1.0365
-0.757576,-5,3.02312
-1.06061,4.09091,0.963945
5,-1.66667,0
1.9697,3.18182,0.53207
3.48485,-0.151515,0.162385
-1.06061,-5,2.92293
-0.757576,4.09091,1.69986
-4.69697,1.36364,1.55821
-0.454545,4.09091,0.832655
-0.151515,4.09091,0.729005
0.151515,4.09091,0.97431
1.66667,0.757576,1.82079
1.36364,-0.151515,1.69986
1.66667,-3.78788,0
-3.18182,3.78788,3.26498
1.06061,-2.57576,0.542435
-4.39394,-2.27273,1.87952
0.454545,4.09091,1.18161
-1.9697,3.18182,1.90025
0.757576,4.09091,1.55821
1.06061,4.09091,0.62881
-1.36364,1.66667,0.936305
2.87879,0.454545,0.4146
0.454545,-0.151515,2.56361
-4.09091,3.78788,1.71022
1.36364,4.09091,0.314405
1.66667,4.09091,1.05032
3.78788,-4.69697,0
-2.57576,1.06061,2.50833
1.9697,4.09091,0.114015
-3.18182,-1.06061,0.549345
2.57576,4.09091,0.0691
-0.454545,2.27273,1.71713
2.87879,4.09091,0.30404
1.36364,0.454545,1.39927
3.18182,4.09091,0.500975
-4.69697,1.9697,1.63767
-2.87879,0.757576,0.7601
-2.87879,-3.78788,0
3.48485,4.09091,0.127835
1.9697,-1.36364,0.694455
3.78788,4.09091,0.134745
-3.48485,3.18182,1.9659
-0.757576,1.66667,1.81733
-3.48485,3.78788,1.71368
4.09091,4.09091,0.169295
0.454545,1.66667,2.02808
-0.454545,3.48485,1.41655
4.09091,-3.18182,0.32477
-2.27273,3.78788,1.86916
4.39394,4.09091,0.203845
2.87879,3.48485,0.08983
4.69697,4.09091,0.22112
5,4.09091,0.570075
3.48485,1.36364,0.65645
1.06061,-0.151515,1.84843
-1.36364,-0.454545,1.28181
3.18182,3.48485,1.17124
-5,3.78788,0
-4.69697,3.78788,1.47529
-2.57576,3.78788,1.3509
-3.78788,3.78788,2.13174
-1.9697,-2.87879,0.54589
-0.757576,2.87879,3.05077
-1.36364,-2.57576,0.383505
-2.87879,3.78788,1.0676
-1.66667,3.78788,2.3805
-0.757576,-0.454545,1.78623
-5,-4.39394,3.32716
-1.36364,3.78788,1.9348
-2.27273,3.48485,1.72059
2.27273,-1.06061,0.40769
-1.06061,3.78788,0.90521
0.151515,1.06061,2.75363
-0.454545,3.78788,0.825745
-3.78788,1.9697,0
0.151515,3.78788,0.98813
-0.151515,2.27273,0.6219
0.757576,3.78788,0.98122
-1.36364,2.27273,1.26108
1.06061,3.78788,1.61348
4.69697,2.57576,0.2073
2.87879,-2.57576,0
1.36364,3.78788,1.57202
0.151515,2.87879,1.09869
1.9697,3.78788,0.404235
-3.18182,-1.66667,0.335135
1.36364,0.757576,1.74478
0.151515,-1.66667,0.120925
1.36364,-3.78788,0
-1.9697,-4.09091,0
-0.454545,1.06061,0
-1.9697,-0.757576,2.01081
1.06061,3.18182,1.55475
2.27273,3.78788,0.24185
2.87879,3.78788,0
0.757576,-2.87879,0.84993
-1.66667,0.757576,0.438785
4.39394,-2.27273,0.169295
-1.66667,-3.78788,0
-1.36364,-0.151515,1.30254
-1.06061,-2.57576,0.35241
3.18182,3.78788,0.35241
3.48485,3.78788,0.11747
0.757576,1.66667,1.36818
3.78788,3.78788,0.11056
4.39394,-3.48485,0
-0.757576,1.06061,3.06458
4.39394,3.78788,0.17966
4.69697,3.78788,0.17966
-5,3.48485,0
1.9697,1.9697,1.43037
-4.69697,3.48485,1.51674
0.757576,3.48485,0.556255
-3.18182,2.87879,1.84151
2.87879,1.66667,0.452605
1.66667,3.18182,0.715185
-4.39394,3.48485,1.73096
3.48485,-1.06061,0
-3.78788,1.36364,1.81387
-4.09091,3.48485,1.72059
4.09091,-1.36364,0.010365
5,-0.151515,1.19543
-1.06061,-0.454545,1.05032
-3.78788,3.48485,1.73096
4.09091,3.48485,0.08983
-3.48485,3.48485,1.77242
-2.87879,3.48485,2.11791
-2.57576,3.48485,1.74478
-1.66667,3.48485,2.31831
-1.36364,3.48485,0.936305
3.48485,2.87879,0.17275
-1.06061,3.48485,0.65645
-0.757576,3.48485,0.853385
-0.151515,3.48485,1.33709
-2.57576,-0.454545,1.33018
0.454545,3.48485,0.570075
2.27273,2.87879,0.35241
1.06061,3.48485,1.36127
